Date,Holiday,Day
6/4/2017,Pentecost 2017,Sunday
6/5/2017,Pentecost Monday 2017,Monday
6/14/2017,Flag Day 2017,Wednesday
6/18/2017,Father's Day 2017,Sunday
7/4/2017,Independence Day 2017,Tuesday
7/23/2017,Parents' Day 2017,Sunday
9/4/2017,Labor Day 2017,Monday
9/10/2017,Grandparents' Day 2017,Sunday
9/11/2017,Patriot Day or September 11th 2017,Monday
9/16/2017,Stepfamily Day 2017,Saturday
9/17/2017,Citizenship Day 2017,Sunday
9/22/2017,Native American Day 2017,Friday
10/9/2017,Columbus Day 2017,Monday
10/16/2017,Boss's Day 2017,Monday
10/21/2017,Sweetest Day 2017,Saturday
10/31/2017,Halloween 2017,Tuesday
11/5/2017,Fall Daylight Saving 2017,Sunday
11/11/2017,Veterans' Day 2017,Saturday
11/23/2017,Thanksgiving 2017,Thursday
11/24/2017,Black Friday 2017,Friday
11/27/2017,Cyber Monday 2017,Monday
12/7/2017,Pearl Harbor Remembrance Day 2017,Thursday
12/25/2017,Christmas Day 2017,Monday
12/31/2017,New Year's Eve 2017,Sunday
1/1/2018,New Year's Day 2018,Monday
1/15/2018,Martin Luther King Day 2018,Monday
1/24/2018,Belly Laugh Day 2018,Wednesday
2/2/2018,Groundhog Day 2018,Friday
2/12/2018,Lincoln's Birthday 2018,Monday
2/13/2018,Mardi Gras Carnival 2018,Tuesday
2/14/2018,Valentine's Day 2018,Wednesday
2/19/2018,Presidents Day and Washington's Birthday 2018,Monday
3/11/2018,Spring Daylight Saving 2018,Sunday
3/17/2018,St. Patrick's Day 2018,Saturday
3/30/2018,Good Friday 2018,Friday
4/1/2018,April Fool's Day 2018,Sunday
4/1/2018,Easter 2018,Sunday
4/2/2018,Easter Monday 2018,Monday
4/22/2018,Earth Day 2018,Sunday
5/5/2018,Cinco de Mayo 2018,Saturday
5/13/2018,Mother's Day 2018,Sunday
5/19/2018,Armed Forces Day 2018,Saturday
5/20/2018,Pentecost 2018,Sunday
5/21/2018,Pentecost Monday 2018,Monday
5/28/2018,Memorial Day 2018,Monday
6/14/2018,Flag Day 2018,Thursday
6/17/2018,Father's Day 2018,Sunday
7/4/2018,Independence Day 2018,Wednesday
